iter	Passed	Remaining
944	3199	186
945	3200	182
946	3202	179
947	3203	175
948	3205	172
949	3206	168
950	3207	165
951	3209	161
952	3210	158
953	3211	154
954	3212	151
955	3214	147
956	3215	144
957	3216	141
958	3219	137
959	3220	134
960	3221	130
961	3223	127
962	3224	123
963	3225	120
964	3226	117
965	3227	113
966	3229	110
967	3230	106
968	3231	103
969	3234	100
970	3235	96
971	3237	93
972	3238	89
973	3239	86
974	3241	83
975	3242	79
976	3244	76
977	3245	73
978	3246	69
979	3249	66
980	3250	62
981	3251	59
982	3253	56
983	3254	52
984	3255	49
985	3256	46
986	3258	42
987	3259	39
988	3260	36
989	3261	32
990	3264	29
991	3266	26
992	3267	23
993	3268	19
994	3269	16
995	3270	13
996	3272	9
997	3273	6
998	3274	3
999	3276	0
